Country,ReporterISO3,x_lon,y_lat
"Egypt, Arab Rep.",EGY,29.36953712,26.895485
Kenya,KEN,37.51297205,0.312406769
Morocco,MAR,-9.983264574,28.49039307
Algeria,DZA,0.526273727,27.91621623
Russian Federation,RUS,88.5973285,59.40587
Uganda,UGA,32.54650624,1.380372723
Greece,GRC,21.80633154,39.08045726
Italy,ITA,12.63118337,42.55821656
Germany,DEU,10.43235105,51.43122793
Lebanon,LBN,35.79466179,33.86518128
Turkey,TUR,35.4549309,38.63352072
United Arab Emirates,ARE,54.98792366,24.28183859
Spain,ESP,-3.519967943,39.9179126
Saudi Arabia,SAU,44.55272449,24.26549592
Slovenia,SVN,14.73228103,46.12744314
France,FRA,2.2137,46.2276
Kuwait,KWT,47.39307229,29.20266226
United Kingdom,GBR,-1.753312128,54.22468791
Brazil,BRA,-49.71162179,-14.07368845
Mauritania,MRT,-11.49296282,21.16341136
Iraq,IRQ,42.41492141,33.19798686
Jordan,JOR,36.31227573,31.29457591
United States,USA,-99.31483211,37.236745
Oman,OMN,56.97737417,20.79773601
Indonesia,IDN,113.2694637,-0.178515924
Croatia,HRV,15.58355932,44.54481365
Netherlands,NLD,5.398113217,52.04023469
Senegal,SEN,-14.72919116,14.49517497
Qatar,QAT,51.17936499,25.34904735
Mali,MLI,-0.7009444,17.95479584
Tunisia,TUN,8.91401971,33.94155905
Cote d'Ivoire,CIV,-5.682611007,7.540625312
Belgium,BEL,4.737356462,50.57967784
Romania,ROM,24.9668,45.9432
Switzerland,CHE,8.286515536,46.80966248
Poland,POL,19.07626746,51.88441732
Ukraine,UKR,30.98077402,48.80460608
Denmark,DNK,9.460776896,56.32431428
Bulgaria,BGR,25.13853316,42.73941997
Czech Republic,CZE,15.53816624,49.75826803
Mauritius,MUS,57.5522,-20.3484
Bahrain,BHR,50.5577,26.0667
Tanzania,TZA,34.14207063,-6.207829437
Austria,AUT,14.95314982,47.91918132
South Africa,ZAF,26.14762705,-28.40852406
Albania,ALB,19.96759003,41.24789602
"Serbia, FR(Serbia/Montenegro)",SER,21.0059,44.0165
Bosnia and Herzegovina,BIH,18.11515991,43.85309624
Burkina Faso,BFA,-1.275629326,12.24139781
"Gambia, The",GMB,-16.04187367,13.40162415
Sweden,SWE,14.78624343,62.27488129
"Hong Kong, China",HKG,114.1694,22.3193
China,CHN,98.76958323,36.79871023
Niger,NER,9.774101005,17.39008871
Japan,JPN,138.3488671,36.09343028
Ireland,IRL,-7.806698877,53.51036459
Georgia,GEO,43.60200544,42.29761033
Syrian Arab Republic,SYR,38.57395271,35.02746176
Sudan,SUD,30.2176,12.8628
Djibouti,DJI,42.41228243,11.85528443
Malaysia,MYS,102.072112,3.832918809
Libya,LBY,17.25892417,26.30326559
Azerbaijan,AZE,47.63524399,40.03804739
Pakistan,PAK,70.09262802,30.35765636
Malta,MLT,14.3754,35.9375
"Other Asia, nes",OAS,,
Occ.Pal.Terr,PSE,35.30150278,32.13028718
Belarus,BLR,27.78641114,53.7060374
Cyprus,CYP,33.0329912,34.83987631
Slovak Republic,SVK,19.63011382,48.71193655
Thailand,THA,101.6632445,13.03702108
Israel,ISR,34.69111664,31.42126069
Fm Sudan,SDN,29.61560321,15.277565
Portugal,PRT,-8.367926169,39.51081859
Latvia,LVA,24.50442315,56.89505463
Benin,BEN,2.285325124,9.236116136
Moldova,MDA,28.64903846,47.13761404
Hungary,HUN,19.10324842,47.24520437
Armenia,ARM,45.06366657,39.95249706
Seychelles,SYC,55.492,-4.6796
"Congo, Rep.",COG,15.9439644,-0.648228855
Togo,TGO,1.119262351,8.494843553
Rwanda,RWA,30.03083643,-1.957012017
Ghana,GHA,-1.087374773,7.815686042
North Macedonia,MKD,21.72035051,41.68109951
Singapore,SGP,103.8198,1.3521
Philippines,PHL,125.2058658,7.603864346
Uruguay,URY,-55.81891949,-32.38745432
India,IND,79.17905944,21.87220531
Canada,CAN,-110.2438078,56.70192
Argentina,ARG,-64.08055163,-37.23919952
Norway,NOR,8.4689,60.472
Lithuania,LTU,24.12780134,55.09123709
Liberia,LBR,-9.710184466,6.330298672
Nigeria,NGA,7.831878148,8.92768535
Mexico,MEX,-102.2501724,23.59937379
Estonia,EST,25.56174921,58.4980834
Sri Lanka,LKA,80.68375212,7.861949368
Guinea,GIN,-9.657523947,9.950943305
Peru,PER,-75.87473849,-9.247523085
Yemen,YEM,47.47313795,15.81531403
Finland,FIN,27.37329005,65.03004904
Australia,AUS,133.0585813,-24.84145497
Colombia,COL,-72.48645807,3.968621121
"Congo, Dem. Rep.",ZAR,21.7587,-4.0383
Cape Verde,CPV,-24.0131,16.002
Angola,AGO,18.80978586,-11.88046315
Chile,CHL,-69.83780461,-54.015925
El Salvador,SLV,-88.92009486,13.81526815
Dominican Republic,DOM,-70.13016145,18.70115856
Luxembourg,LUX,5.964412511,49.7158546
Iceland,ISL,-18.45789277,64.98804902
Kazakhstan,KAZ,66.31159464,48.06896117
Vietnam,VNM,107.7769343,15.99414033
Guatemala,GTM,-90.33421969,15.79155579
Panama,PAN,-81.48307983,8.405611274
Montenegro,MNT,19.3744,42.7087
"Korea, Rep.",KOR,127.9013566,36.20501262
New Zealand,NZL,176.5165968,-38.30531015
Cambodia,KHM,104.9987319,12.86572663
Costa Rica,CRI,-83.68384183,9.705764472
East Timor,TMP,125.7275,-8.8742
Gabon,GAB,11.5926407,-0.945187473
Namibia,NAM,17.14626875,-23.25483347
Antigua and Barbuda,ATG,-61.7964,17.0608
Faeroe Islands,FRO,-6.9118,61.8926
Sierra Leone,SLE,-11.84442494,8.560873114
Fiji,FJI,177.9759493,-17.93762
Zambia,ZMB,25.36972724,-13.08000233
Comoros,COM,43.3333,-11.6455
Maldives,MDV,73.2207,3.2028
Suriname,SUR,-56.03158323,3.840450649
Trinidad and Tobago,TTO,-61.29035235,10.5625
Brunei,BRN,114.8927965,4.712942613
Venezuela,VEN,-65.42594003,6.481697699
Ecuador,ECU,-78.27869867,-1.763328749
Belize,BLZ,-88.69909241,17.31058452
Greenland,GRL,-39.28314849,71.8673
Malawi,MWI,33.66837111,-13.17464772
Madagascar,MDG,46.66949123,-18.64669097
Honduras,HND,-87.22788962,14.48783692
Barbados,BRB,-59.5432,13.1939
Mongolia,MNG,105.333976,46.84677908
Eswatini,SWZ,31.36009931,-26.56594919
Mayotte,MYT,45.1662,-12.8275
Paraguay,PRY,-58.63741587,-23.11380849
Burundi,BDI,29.95712122,-3.463945
Ethiopia(excludes Eritrea),ETH,38.72639119,9.36203
St. Kitts and Nevis,KNA,-62.783,17.3578
St. Lucia,LCA,-60.9789,13.9094
Cameroon,CMR,13.49159824,7.226200059
Zimbabwe,ZWE,29.32172052,-19.00374928
Bolivia,BOL,-63.63894107,-16.40013559
Nicaragua,NIC,-85.57435618,12.88960114
Lao PDR,LAO,102.0821689,18.17502788
New Caledonia,NCL,165.6873774,-21.41471323
Jamaica,JAM,-77.15150094,18.02378388
French Polynesia,PYF,-149.4068,-17.6797
Papua New Guinea,PNG,144.2261159,-6.667835585
Kyrgyz Republic,KGZ,75.19201311,41.28910798
Guyana,GUY,-58.84538529,4.913343818
Uzbekistan,UZB,63.4428751,41.35327719
"Micronesia, Fed. Sts.",FSM,150.5508,7.4256
Botswana,BWA,24.3101174,-22.45953318
Tajikistan,TJK,71.0398458,38.75403016
St. Vincent and the Grenadines,VCT,-61.2872,12.9843
Andorra,AND,1.5218,42.5063
